ts_ns,cpu_khz,cpu_min_khz,cpu_max_khz,cpu_governor,gpu_hz,gpu_min_hz,gpu_max_hz,gpu_governor,fan_cur_state,fan_max_state,fan_pwm,temp_cpu_mC,temp_gpu_mC,temp_soc0_mC,temp_soc1_mC,temp_soc2_mC,temp_tj_mC,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,ina260_current_A,ina260_voltage_V,ina260_power_W
5258067085868,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43562,44781,44656,43906,44031,44781,-1,-1,-1,0.37625,19.275,7.26
5258167197256,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43593,44718,44656,43906,44062,44718,-1,-1,-1,0.34875,19.2812,6.72
5258267166625,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,44781,44781,44093,44031,44781,4816,557,1433,0.33875,19.2812,6.53
5258367180187,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43625,44875,44750,44062,44093,44875,4776,557,1433,0.3675,19.275,7.08
5258467185012,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43625,44781,44656,44093,44031,44781,4944,636,1433,0.34125,19.2812,6.58
5258567163500,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43562,44687,44750,44000,44062,44687,4944,597,1433,0.3375,19.2838,6.5
5258667161349,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43625,44875,44687,44031,44093,44875,4904,597,1433,0.36125,19.28,6.75
5258767156446,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43781,44812,44656,44031,44093,44812,4904,597,1433,0.33875,19.2812,6.53
5258867170775,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43562,44718,44656,44000,44093,44718,4904,597,1433,0.34625,19.2838,6.68
5258967373045,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43625,44968,44593,43906,44062,44968,4864,597,1433,0.34,19.2825,6.55
5259067168169,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43812,44906,44781,44125,44062,44906,4864,597,1433,0.37125,19.2712,7.13
5259167172930,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43625,44625,44718,44125,44062,44625,4904,636,1433,0.38125,19.2688,7.35
5259267180347,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,44625,44656,44125,44031,44843,4984,676,1433,0.3375,19.2838,6.5
5259367177588,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43593,44906,44687,43968,43968,44906,4984,676,1433,0.335,19.2862,6.55
5259467166188,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43625,44625,44656,44062,43968,44718,4984,636,1433,0.34375,19.28,6.63
5259567167685,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43593,44687,44656,43937,44062,44687,4944,636,1433,0.33875,19.28,6.53
5259667153053,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43531,44781,44625,44062,43906,44781,4904,636,1433,0.33625,19.2775,6.48
5259767162005,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43718,44718,44593,43968,44093,44718,4904,636,1433,0.3425,19.2787,6.69
5259867167278,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43781,44718,44781,44187,44031,44718,4864,597,1433,0.3375,19.28,6.5
5259967168614,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43562,44687,44812,44187,44031,44687,4864,597,1433,0.34,19.2812,6.55
5260067162622,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43625,44687,44781,44062,44062,44687,4824,597,1433,0.34,19.28,6.63
5260167174071,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43562,44625,44718,44093,44000,44718,4824,597,1433,0.36375,19.2712,7.01
5260267166991,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43562,44781,44593,44031,44031,44781,4824,597,1433,0.3625,19.2775,6.99
5260367160807,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43625,44656,44687,44000,44062,44718,4824,597,1433,0.41625,19.2662,7.95
