ts_ns,dt_ns,cpu_khz,cpu_min_khz,cpu_max_khz,cpu_governor,gpu_hz,gpu_min_hz,gpu_max_hz,gpu_governor,fan_cur_state,fan_max_state,fan_pwm,temp_cpu_mC,temp_gpu_mC,temp_soc0_mC,temp_soc1_mC,temp_soc2_mC,temp_tj_mC
19680141816428,0,1190400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47812,48781,48500,48218,47906,48781
19680241958974,100142546,422400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47625,48718,48531,48125,47968,48718
19680341902923,99943949,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47562,48812,48500,48062,47843,48812
19680441899257,99996334,192000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47625,48781,48531,48062,47812,48781
19680541884998,99985741,1728000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47937,48750,48406,48062,47937,49031
19680641896725,100011727,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47562,49000,48437,48093,48000,49000
19680741902627,100005902,652800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47687,48843,48531,48125,47906,48593
19680841898705,99996078,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47843,48562,48625,48031,47906,48625
19680941898911,100000206,883200,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47687,48906,48500,48000,47875,48906
19681041882957,99984046,422400,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47718,48843,48531,48156,47843,48843
19681141906555,100023598,1728000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47750,48625,48500,48156,47875,48625
19681241900713,99994158,729600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47781,49093,48468,48156,47843,49093
19681341910199,100009486,576000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47937,48875,48500,48093,47937,48656
19681441887845,99977646,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47656,48687,48531,48093,47937,48687
19681541886675,99998830,576000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47718,48656,48593,48031,47937,48656
19681641884097,99997422,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47906,49031,48531,48000,47906,48718
19681741899599,100015502,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47656,48625,48531,47968,47875,48625
19681841898622,99999023,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47656,48656,48531,48125,47906,48781
19681941899308,100000686,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47593,48718,48531,48156,47875,48718
19682041901274,100001966,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47750,48718,48531,48187,47937,48718
19682141887527,99986253,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47562,48625,48500,48187,47906,48812
19682241893270,100005743,1728000,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47656,48781,48500,48187,48000,48781
19682341886596,99993326,499200,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47843,48687,48656,48062,47937,48687
19682441905778,100019182,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47812,48812,48593,48062,47937,48812
19682541898240,99992462,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47656,48718,48687,48000,47906,48718
19682641901070,100002830,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47812,48687,48531,48062,47906,49031
19682741897628,99996558,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47687,48781,48500,48156,47875,48781
19682841897290,99999662,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47750,48781,48531,48187,47937,48781
19682941887864,99990574,268800,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47562,48750,48500,48125,47843,48750
19683041900198,100012334,345600,115200,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,73,47781,49000,48437,48000,47906,49000
