ts_ns,cpu_khz,cpu_min_khz,cpu_max_khz,cpu_governor,gpu_hz,gpu_min_hz,gpu_max_hz,gpu_governor,fan_cur_state,fan_max_state,fan_pwm,temp_cpu_mC,temp_gpu_mC,temp_soc0_mC,temp_soc1_mC,temp_soc2_mC,temp_tj_mC,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,ina260_current_A,ina260_voltage_V,ina260_power_W
5167872993960,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,44781,44687,44093,44000,44781,-1,-1,-1,0.44375,19.2525,8.54
5167973083450,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,44843,44750,44125,44093,44843,-1,-1,-1,0.3475,19.275,7.56
5168073076651,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43562,44812,44656,44125,44093,44812,4784,557,1433,0.34625,19.2812,6.34
5168173076603,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43531,44906,44718,44000,44000,44906,4784,557,1433,0.33875,19.2825,6.53
5168273074924,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43562,44843,44625,44000,44031,44843,4784,557,1433,0.34375,19.2825,6.63
5168373072284,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43656,44750,44656,44000,44125,44750,4824,557,1433,0.33875,19.2825,6.5
5168473071949,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43750,45000,44687,44062,44125,45000,4784,557,1433,0.355,19.2787,6.85
5168573061340,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43812,44906,44656,43968,44156,44906,4824,557,1433,0.3425,19.2812,6.6
5168673072940,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,44656,44687,43937,44125,44718,4824,557,1433,0.375,19.275,7.23
5168773077244,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43781,45031,44750,44093,44156,45031,4784,557,1433,0.3425,19.2838,6.58
5168873074156,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,45000,44687,44062,44125,45000,4784,557,1433,0.42125,19.26,8.1
5168973087452,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43687,44781,44750,44031,44156,44781,4904,636,1433,0.3675,19.2737,7.08
5169073091276,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43562,44625,44718,44031,44125,44781,4984,676,1433,0.3375,19.2812,6.5
5169173076668,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,-1,43750,45031,44718,44062,44093,45031,4984,676,1433,0.33375,19.2838,6.44
