ts_ns,dt_ns,cpu_khz,cpu_min_khz,cpu_max_khz,cpu_governor,gpu_hz,gpu_min_hz,gpu_max_hz,gpu_governor,fan_cur_state,fan_max_state,fan_pwm,temp_cpu_mC,temp_gpu_mC,temp_soc0_mC,temp_soc1_mC,temp_soc2_mC,temp_tj_mC,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW
9610868385888,0,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,44968,46312,46125,45656,45468,46312,,,
9610968483284,100097396,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,45312,46468,46062,45625,45500,46468,,,
9611068475813,99992529,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,45000,46250,46093,45687,45500,46250,4776,516,1433
9611168468374,99992561,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,45093,46187,46281,45625,45531,46281,4737,516,1433
9611268468679,100000305,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,45125,46406,46281,45625,45468,46406,4737,516,1433
9611368470840,100002161,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,45062,46312,46125,45718,45406,46312,4737,516,1433
9611468464937,99994097,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,45031,46156,46156,45687,45468,46156,4737,516,1433
9611568466746,100001809,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,45062,46062,46125,45718,45437,46187,4737,516,1433
9611668681424,100214678,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,45000,46437,46125,45593,45406,46156,4776,516,1433
9611768472764,99791340,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,44937,46093,46125,45625,45500,46125,4776,516,1433
9611868674258,100201494,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,45000,46156,46125,45656,45500,46156,4776,516,1433
9611968677763,100003505,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,45125,46437,46250,45656,45531,46250,4776,516,1433
9612068459726,99781963,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,45125,46093,46281,45625,45531,46281,4776,516,1433
9612168457855,99998129,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,45093,46187,46125,45843,45468,46187,4737,516,1433
9612268461263,100003408,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,45093,46281,46125,45781,45500,46281,4737,516,1433
9612368466400,100005137,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,45000,46218,46156,45750,45500,46218,4737,516,1433
9612468467216,100000816,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,45031,46156,46187,45625,45468,46187,4737,516,1433
