ts_ns,dt_ns,inst_rate_hz,avg_rate_hz,cpu_khz,cpu_min_khz,cpu_max_khz,cpu_governor,gpu_hz,gpu_min_hz,gpu_max_hz,gpu_governor,fan_cur_state,fan_max_state,fan_pwm,temp_cpu_mC,temp_gpu_mC,temp_soc0_mC,temp_soc1_mC,temp_soc2_mC,temp_tj_mC,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,ina260_current_A,ina260_voltage_V,ina260_power_W
4066044452285,0,,,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47125,48312,48125,47593,47468,48312,,,,0.395,19.269,7.210
4066094537936,50085651,19.966,19.966,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47125,48375,48062,47781,47468,48375,,,,0.352,19.280,6.800
4066144676740,50138804,19.945,19.955,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47187,48500,48062,47625,47500,48500,4856,597,1433,0.370,19.285,7.130
4066194543634,49866894,20.053,19.988,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,46937,48125,48125,47625,47468,48125,4856,597,1433,0.359,19.285,6.770
4066244523395,49979761,20.008,19.993,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47000,48343,48156,47593,47468,48343,4856,597,1433,0.347,19.280,6.690
4066294521780,49998385,20.001,19.994,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47093,48406,48218,47593,47468,48406,4856,597,1433,0.349,19.290,6.710
4066344514277,49992497,20.003,19.996,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47031,48343,48125,47593,47437,48218,4856,597,1433,0.341,19.285,6.580
4066394514422,50000145,20.000,19.996,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47218,48375,48062,47625,47500,48375,4856,597,1433,0.365,19.285,7.040
4066444534760,50020338,19.992,19.996,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47000,48562,48062,47750,47437,48250,4856,597,1433,0.360,19.282,6.940
4066494518968,49984208,20.006,19.997,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47000,48250,48125,47562,47468,48250,4856,596,1433,0.340,19.285,6.550
4066544517642,49998674,20.001,19.997,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,46968,48406,48093,47718,47406,48406,4856,597,1433,0.341,19.281,6.580
4066594515899,49998257,20.001,19.998,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47062,48218,48125,47593,47468,48218,4856,597,1433,0.359,19.289,6.530
4066644516460,50000561,20.000,19.998,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,46937,48218,48156,47625,47406,48218,4856,596,1433,0.347,19.284,6.710
4066694518429,50001969,19.999,19.998,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47062,48437,48062,47625,47468,48437,4856,596,1433,0.351,19.284,6.770
4066744534286,50015857,19.994,19.998,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47062,48187,48187,47562,47500,48187,4856,597,1433,0.355,19.289,6.550
4066794530623,49996337,20.001,19.998,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47062,48250,48062,47593,47500,48250,4856,597,1433,0.341,19.284,6.580
4066844527728,49997105,20.001,19.998,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47156,48500,48125,47656,47437,48500,4896,597,1433,0.354,19.284,6.820
4066894531809,50004081,19.998,19.998,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47000,48250,48187,47687,47531,48250,4896,597,1433,0.356,19.290,6.730
4066944521394,49989585,20.004,19.998,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47125,48250,48125,47625,47468,48250,4896,597,1433,0.349,19.285,6.770
4066994513987,49992593,20.003,19.999,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,46906,48437,48218,47625,47500,48218,4896,597,1433,0.352,19.282,6.800
4067044518197,50004210,19.998,19.999,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47031,48218,48093,47562,47500,48218,4896,597,1433,0.359,19.288,6.600
4067094532390,50014193,19.994,19.998,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47125,48281,48187,47656,47437,48281,4856,597,1433,0.389,19.280,7.500
4067144520823,49988433,20.005,19.999,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47093,48593,48125,47531,47500,48250,4896,597,1433,0.354,19.286,6.820
4067194522152,50001329,19.999,19.999,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48250,48125,47562,47406,48250,4896,597,1433,0.356,19.286,6.770
4067244521017,49998865,20.000,19.999,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,46968,48312,48125,47687,47468,48312,4896,597,1433,0.343,19.286,6.600
