ts_ns,dt_ns,inst_rate_hz,avg_rate_hz,cpu_khz,cpu_min_khz,cpu_max_khz,cpu_governor,gpu_hz,gpu_min_hz,gpu_max_hz,gpu_governor,fan_cur_state,fan_max_state,fan_pwm,temp_cpu_mC,temp_gpu_mC,temp_soc0_mC,temp_soc1_mC,temp_soc2_mC,temp_tj_mC,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,ina260_current_A,ina260_voltage_V,ina260_power_W
3950336568768,0,,,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47468,48406,48343,47781,47656,48406,,,,0.398,19.274,7.670
3950338469958,1901190,525.986,525.986,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48406,48375,47781,47750,48406,,,,0.421,19.260,8.120
3950340094022,1624064,615.739,567.335,1190400,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48718,48375,47812,47656,48718,,,,0.454,19.260,8.120
3950341609123,1515101,660.022,595.196,1190400,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48718,48281,47812,47625,48718,,,,0.475,19.265,8.740
3950343817071,2207948,452.909,551.853,1113600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47562,48500,48250,47875,47625,48500,,,,0.412,19.264,9.150
3950346028058,2210987,452.287,528.581,1036800,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47562,48500,48281,47750,47562,48500,,,,0.412,19.264,7.950
3950347498263,1470205,680.177,548.973,1036800,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47562,48625,48187,47750,47593,48625,,,,0.441,19.271,8.500
3950349240057,1741794,574.121,552.430,1036800,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47562,48625,48187,47812,47625,48625,,,,0.414,19.269,7.970
3950351476101,2236044,447.218,536.649,960000,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47468,48500,48250,47781,47718,48500,,,,0.466,19.262,8.990
3950353545646,2069545,483.198,530.133,883200,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47468,48500,48281,47781,47718,48500,,,,0.441,19.262,8.990
3950354954954,1409308,709.568,543.887,883200,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47468,48500,48375,47781,47625,48500,,,,0.441,19.273,8.500
3950356397030,1442076,693.445,554.764,806400,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47468,48750,48375,47781,47656,48750,,,,0.406,19.269,7.830
3950357910052,1513022,660.929,562.290,806400,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47531,48750,48156,47781,47687,48750,,,,0.403,19.269,7.830
3950359302687,1392635,718.063,571.833,806400,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47531,48750,48250,47750,47656,48468,,,,0.403,19.274,7.760
3950360775708,1473021,678.877,578.347,806400,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47531,48468,48250,47718,47687,48468,,,,0.429,19.262,8.260
3950362150167,1374459,727.559,586.364,806400,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47531,48468,48281,47718,47656,48468,,,,0.454,19.262,8.260
3950363525650,1375483,727.017,593.540,806400,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47531,48625,48281,47750,47718,48625,,,,0.459,19.260,8.740
3950365496025,1970375,507.518,587.681,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47375,48625,48312,47781,47718,48625,,,,0.431,19.264,8.830
3950367952233,2456208,407.132,573.550,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47375,48406,48312,47781,47718,48406,,,,0.431,19.260,8.310
3950369435174,1482941,674.336,578.098,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47375,48406,48406,47781,47656,48406,,,,0.414,19.267,7.970
3950370830049,1394875,716.910,583.749,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47375,48406,48218,47812,47562,48656,,,,0.439,19.267,8.460
3950372742471,1912422,522.897,580.532,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47468,48656,48218,47843,47656,48656,,,,0.438,19.271,8.460
