ts_ns,dt_ns,inst_rate_hz,avg_rate_hz,cpu_khz,cpu_min_khz,cpu_max_khz,cpu_governor,gpu_hz,gpu_min_hz,gpu_max_hz,gpu_governor,fan_cur_state,fan_max_state,fan_pwm,temp_cpu_mC,temp_gpu_mC,temp_soc0_mC,temp_soc1_mC,temp_soc2_mC,temp_tj_mC,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,ina260_current_A,ina260_voltage_V,ina260_power_W
3937594822992,0,,,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47250,48312,48281,47718,47593,48312,,,,0.424,19.279,7.540
3937596882776,2059784,485.488,485.488,1190400,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47250,48312,48125,47750,47562,48500,,,,0.445,19.273,8.170
3937598886912,2004136,498.968,492.136,1190400,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47343,48500,48125,47718,47500,48500,,,,0.407,19.264,8.580
3937600966696,2079784,480.819,488.305,1113600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47343,48500,48156,47687,47531,48687,,,,0.407,19.262,7.850
3937602883694,1916998,521.649,496.235,1113600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47343,48687,48156,47656,47562,48687,,,,0.424,19.261,8.170
3937605662565,2778871,359.858,461.273,960000,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47281,48437,48218,47656,47593,48437,,,,0.476,19.273,8.170
3937607221443,1558878,641.487,483.931,960000,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47281,48437,48250,47687,47656,48437,,,,0.443,19.259,9.180
3937609805206,2583763,387.032,467.221,883200,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47281,48656,48250,47781,47531,48656,,,,0.443,19.270,8.520
3937611321428,1516222,659.534,484.894,883200,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47343,48656,48187,47781,47562,48656,,,,0.416,19.274,8.030
3937612955284,1633856,612.049,496.352,883200,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47343,48656,48156,47875,47562,48375,,,,0.430,19.274,8.290
3937614881370,1926086,519.188,498.545,883200,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47343,48375,48156,47656,47562,48375,,,,0.412,19.275,8.290
3937616880513,1999143,500.214,498.696,806400,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47343,48375,48125,47625,47562,48656,,,,0.431,19.265,7.950
3937618880105,1999592,500.102,498.813,806400,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47406,48656,48187,47750,47593,48656,,,,0.445,19.266,8.310
3937620879600,1999495,500.126,498.914,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47406,48656,48187,47750,47593,48375,,,,0.445,19.261,8.580
3937622879639,2000039,499.990,498.990,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47406,48375,48281,47750,47593,48375,,,,0.443,19.262,8.470
3937624830302,1950663,512.646,499.878,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48375,48375,47750,47593,48625,,,,0.443,19.274,8.520
3937626880262,2049960,487.814,499.107,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47406,48625,48125,47750,47531,48625,,,,0.415,19.271,8.000
3937628878637,1998375,500.407,499.183,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47406,48625,48125,47625,47562,48375,,,,0.450,19.270,8.670
3937630878837,2000200,499.950,499.226,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47406,48375,48125,47625,47562,48375,,,,0.424,19.264,8.170
3937632888796,2009959,497.523,499.136,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47468,48625,48218,47687,47562,48625,,,,0.463,19.264,8.910
3937634889763,2000967,499.758,499.167,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47468,48625,48187,47781,47625,48312,,,,0.449,19.254,9.820
3937638609741,3719978,268.819,479.597,1113600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48312,48343,47781,47562,48343,,,,0.482,19.255,8.640
3937640315150,1705409,586.370,483.600,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47562,48312,48343,47781,47625,48500,,,,0.484,19.254,9.290
3937642715389,2400239,416.625,480.243,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47562,48500,48187,47843,47562,48500,,,,0.444,19.253,9.320
3937644907656,2192267,456.149,479.189,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47562,48312,48187,47593,47562,48312,5302,915,1472,0.430,19.260,8.550
3937646829038,1921382,520.459,480.713,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47687,48312,48187,47562,47656,48312,5302,915,1472,0.436,19.266,8.280
3937649198845,2369807,421.975,478.153,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47687,48500,48156,47718,47531,48500,5302,915,1472,0.436,19.267,8.410
3937650708218,1509373,662.527,483.133,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47687,48500,48281,47718,47625,48500,5302,915,1472,0.430,19.266,8.280
3937652092630,1384412,722.328,488.915,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47500,48343,48281,47656,47656,48343,5302,915,1472,0.440,19.275,8.490
3937655029519,2936889,340.496,481.675,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47500,48343,48218,47781,47562,48343,5302,915,1472,0.460,19.259,8.860
3937656569454,1539935,649.378,485.858,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47500,48406,48125,47687,47593,48406,5302,915,1472,0.448,19.270,8.630
3937658989181,2419727,413.270,483.120,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47500,48406,48250,47625,47593,48406,5302,915,1472,0.432,19.270,8.330
3937660783360,1794179,557.358,485.140,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47562,48312,48250,47718,47593,48312,5302,915,1472,0.422,19.270,8.140
3937663122158,2338798,427.570,483.168,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47562,48312,48250,47625,47625,48312,5302,915,1472,0.460,19.269,8.140
3937664617516,1495358,668.736,487.144,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47562,48468,48250,47625,47625,48468,5302,915,1472,0.435,19.264,8.860
3937666822071,2204555,453.606,486.117,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47562,48468,48281,47750,47562,48468,5302,915,1472,0.415,19.267,8.380
3937669256487,2434416,410.776,483.653,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48281,48312,47812,47562,48281,5302,915,1472,0.440,19.262,8.470
3937672489191,3232704,309.339,476.398,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48468,48187,47718,47562,48468,5302,915,1472,0.438,19.266,8.440
3937674262537,1773346,563.906,478.351,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47500,48468,48187,47687,47593,48468,5302,915,1472,0.451,19.266,8.440
3937675691366,1428829,699.874,482.265,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47500,48468,48250,47687,47593,48281,5302,915,1472,0.451,19.264,8.690
3937677558154,1866788,535.679,483.470,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47500,48281,48156,47625,47531,48281,5302,915,1472,0.422,19.267,8.140
3937679307277,1749123,571.715,485.297,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47500,48281,48156,47718,47593,48281,5302,915,1472,0.431,19.266,8.310
3937681027790,1720513,581.222,487.212,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47281,48375,48250,47781,47562,48375,5302,915,1472,0.429,19.266,8.310
3937682614062,1586272,630.409,489.799,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47250,48375,48281,47812,47531,48718,5302,915,1472,0.415,19.273,7.990
3937687296458,4682396,213.566,475.812,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47250,48718,48218,47687,47593,48437,5302,915,1472,0.472,19.264,9.100
3937690705165,3408707,293.366,469.326,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47437,48437,48125,47656,47625,48437,5302,915,1472,0.454,19.258,8.740
3937692302124,1596959,626.190,471.896,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47437,48656,48187,47718,47593,48656,5302,915,1472,0.460,19.258,8.870
3937693987085,1684961,593.486,473.962,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47437,48656,48281,47718,47593,48656,5302,915,1472,0.435,19.270,8.870
3937695758192,1771107,564.619,475.553,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47250,48656,48281,47750,47625,48343,5302,915,1472,0.435,19.260,8.380
3937697169772,1411580,708.426,478.764,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47187,48343,48156,47781,47593,48343,5302,915,1472,0.445,19.266,8.580
3937699505850,2336078,428.068,477.633,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48656,48187,47843,47562,48656,5302,915,1472,0.380,19.266,8.230
3937702438291,2932441,341.013,473.910,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47375,48656,48125,47625,47562,48656,5302,915,1472,0.380,19.280,7.320
3937704159765,1721474,580.898,475.595,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47375,48375,48125,47687,47562,48375,5302,915,1472,0.355,19.276,6.850
3937705693011,1533246,652.211,478.037,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47375,48375,48218,47687,47656,48375,5302,915,1472,0.406,19.282,7.830
3937708403849,2710838,368.890,475.432,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47218,48531,48218,47687,47562,48531,5302,915,1472,0.367,19.275,7.080
3937709814340,1410491,708.973,478.297,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47125,48531,48250,47687,47625,48531,5302,915,1472,0.396,19.285,7.640
3937711987119,2172779,460.240,477.962,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47125,48343,48218,47812,47562,48343,5302,915,1472,0.391,19.285,7.640
3937713706321,1719202,581.665,479.462,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47156,48343,48093,47781,47531,48343,5302,915,1472,0.388,19.279,7.480
3937716230435,2524114,396.179,477.730,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48593,48187,47718,47593,48593,5302,915,1472,0.380,19.282,7.480
3937718128264,1897829,526.918,478.487,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48593,48125,47687,47625,48593,5302,915,1472,0.369,19.282,7.120
3937720596056,2467792,405.221,477.050,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48343,48218,47656,47593,48343,5302,915,1472,0.362,19.275,6.990
3937723957562,3361506,297.486,472.375,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47156,48468,48281,47625,47625,48468,5302,915,1472,0.371,19.286,7.160
3937725829023,1871461,534.342,473.261,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47156,48468,48281,47750,47500,48468,5302,915,1472,0.371,19.276,7.160
3937727272444,1443421,692.799,475.653,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47156,48312,48281,47750,47531,48312,5302,915,1472,0.379,19.276,7.310
3937729408102,2135658,468.240,475.536,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47406,48312,48093,47843,47562,48312,5302,915,1472,0.376,19.284,7.260
3937731499471,2091369,478.156,475.576,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47406,48468,48125,47656,47593,48468,5302,915,1472,0.374,19.277,7.260
3937733272466,1772995,564.017,476.708,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47406,48468,48187,47656,47593,48468,5302,915,1472,0.357,19.282,7.210
3937735114582,1842116,542.854,477.577,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47218,48343,48187,47687,47625,48343,5302,915,1472,0.359,19.285,6.920
3937740607266,5492684,182.060,466.443,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47218,48500,48312,47781,47562,48500,5302,915,1472,0.384,19.285,7.400
3937742488999,1881733,531.425,467.271,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47250,48500,48187,47781,47593,48343,5302,915,1472,0.350,19.285,7.400
3937744189576,1700577,588.036,468.646,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48343,48156,47812,47593,48343,5302,915,1472,0.350,19.266,6.750
3937745676869,1487293,672.362,470.654,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48343,48156,47593,47531,48343,5302,915,1472,0.398,19.282,7.670
3937748053300,2376431,420.799,469.881,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48406,48156,47656,47562,48406,5302,915,1472,0.365,19.275,7.040
3937749456464,1403164,712.675,472.084,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47343,48406,48312,47656,47625,48406,5302,915,1472,0.386,19.285,7.450
3937751942881,2486417,402.185,470.978,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47343,48312,48250,47750,47625,48468,5302,915,1472,0.369,19.284,7.120
3937756495130,4552249,219.672,463.902,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47250,48468,48156,47812,47562,48468,5302,915,1472,0.370,19.279,7.130
3937758493633,1998503,500.375,464.347,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47250,48468,48156,47812,47562,48687,5302,915,1472,0.391,19.288,7.550
3937760436040,1942407,514.825,464.939,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47250,48687,48125,47625,47656,48687,5302,915,1472,0.372,19.285,7.180
3937762760277,2324237,430.249,464.459,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47406,48500,48218,47656,47625,48500,5302,915,1472,0.393,19.282,7.560
3937764980897,2220620,450.325,464.275,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47406,48500,48156,47718,47562,48500,5302,915,1472,0.379,19.282,7.310
3937766805413,1824516,548.091,465.164,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47406,48625,48156,47750,47625,48625,5302,915,1472,0.385,19.281,7.310
3937768549287,1743874,573.436,466.251,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47406,48625,48156,47750,47531,48625,5302,915,1472,0.355,19.282,6.850
3937771218364,2669077,374.661,464.865,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48375,48093,47718,47562,48375,5302,915,1472,0.376,19.285,7.260
3937773477256,2258892,442.695,464.584,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48375,48093,47812,47531,48375,5302,915,1472,0.357,19.282,7.260
3937775251691,1774435,563.560,465.558,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48656,48156,47718,47562,48656,5302,915,1472,0.357,19.279,6.890
3937776801833,1550142,645.102,467.087,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47343,48656,48125,47687,47562,48656,5302,915,1472,0.376,19.277,7.260
3937779266490,2464657,405.736,466.267,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47343,48343,48187,47687,47593,48343,5302,915,1472,0.360,19.277,6.940
3937780669397,1402907,712.806,468.129,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47343,48343,48187,47687,47625,48343,5302,915,1472,0.395,19.280,7.620
3937782699485,2030088,492.589,468.393,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47343,48562,48218,47750,47625,48562,5302,915,1472,0.369,19.280,7.120
3937784426751,1727266,578.950,469.400,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47187,48562,48218,47781,47656,48562,5302,915,1472,0.381,19.284,7.120
3937785855003,1428252,700.157,471.125,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47187,48343,48218,47781,47562,48343,5302,915,1472,0.345,19.284,6.660
3937789350848,3495845,286.054,467.799,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47187,48343,48218,47656,47625,48343,5302,915,1472,0.385,19.284,6.660
3937790734267,1383419,722.847,469.600,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47468,48562,48156,47687,47625,48562,5302,915,1472,0.372,19.288,7.180
3937794065789,3331522,300.163,466.767,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47468,48562,48187,47687,47562,48406,5302,915,1472,0.383,19.288,7.370
3937795474264,1408475,709.988,468.474,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47468,48406,48187,47781,47531,48406,5302,915,1472,0.371,19.281,7.370
3937797474368,2000104,499.974,468.785,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47468,48406,48218,47781,47593,48406,5302,915,1472,0.364,19.284,7.160
3937799341156,1866788,535.679,469.396,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47250,48562,48156,47781,47562,48562,5302,915,1472,0.364,19.279,7.010
3937800761568,1420412,704.021,471.014,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47250,48562,48156,47781,47562,48312,5302,915,1472,0.360,19.288,7.330
3937804014784,3253216,307.388,468.470,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48312,48187,47750,47500,48406,5302,915,1472,0.344,19.284,6.630
3937807644424,3629640,275.509,465.179,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48406,48218,47718,47593,48406,5302,915,1472,0.356,19.279,6.870
3937809622831,1978407,505.457,465.550,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48406,48218,47750,47625,48312,5302,915,1472,0.398,19.288,7.670
3937811417618,1794787,557.169,466.309,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47312,48312,48281,47750,47593,48312,5302,915,1472,0.369,19.279,7.100
3937814412333,2994715,333.922,464.503,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47187,48468,48312,47781,47593,48468,5302,915,1472,0.389,19.288,7.500
3937816198416,1786083,559.884,465.273,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47187,48468,48156,47656,47562,48468,5302,915,1472,0.357,19.277,6.890
3937818085589,1887173,529.893,465.819,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47468,48312,48125,47750,47562,48312,5302,915,1472,0.380,19.282,7.310
3937821428119,3342530,299.175,463.361,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47468,48312,48125,47687,47625,48312,5302,915,1472,0.380,19.279,7.320
3937822827954,1399835,714.370,464.902,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47468,48468,48250,47687,47625,48468,5302,915,1472,0.389,19.285,7.500
3937824821241,1993287,501.684,465.221,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,0,3,,47468,48468,48250,47687,47562,48468,5302,915,1472,0.364,19.288,7.010
