ts_ns,cpu_khz,cpu_min_khz,cpu_max_khz,gpu_hz,gpu_min_hz,gpu_max_hz,temp_cpu_mC,temp_gpu_mC,gpu_governor
4282530090592,1344000,1344000,1344000,918000000,918000000,918000000,47562,48656,nvhost_podgov
4282631485037,1344000,1344000,1344000,918000000,918000000,918000000,47343,48968,nvhost_podgov
4282732545102,1344000,1344000,1344000,918000000,918000000,918000000,47218,48718,nvhost_podgov
4282833685616,1344000,1344000,1344000,918000000,918000000,918000000,47250,48781,nvhost_podgov
4282935048282,1344000,1344000,1344000,918000000,918000000,918000000,47375,48750,nvhost_podgov
4283036246174,1344000,1344000,1344000,918000000,918000000,918000000,47218,48875,nvhost_podgov
4283137589672,1344000,1344000,1344000,918000000,918000000,918000000,47312,48656,nvhost_podgov
4283238828237,1344000,1344000,1344000,918000000,918000000,918000000,47250,48843,nvhost_podgov
4283340390174,1344000,1344000,1344000,918000000,918000000,918000000,47187,48750,nvhost_podgov
4283441054769,1344000,1344000,1344000,918000000,918000000,918000000,47281,48812,nvhost_podgov
4283542011309,1344000,1344000,1344000,918000000,918000000,918000000,47312,48750,nvhost_podgov
4283642795844,1344000,1344000,1344000,918000000,918000000,918000000,47281,48968,nvhost_podgov
4283744493463,1344000,1344000,1344000,918000000,918000000,918000000,47156,48718,nvhost_podgov
4283845883391,1344000,1344000,1344000,918000000,918000000,918000000,47250,48781,nvhost_podgov
4283947886556,1344000,1344000,1344000,918000000,918000000,918000000,47218,48781,nvhost_podgov
4284049734036,1344000,1344000,1344000,918000000,918000000,918000000,47187,48937,nvhost_podgov
4284151424326,1344000,1344000,1344000,918000000,918000000,918000000,47250,48562,nvhost_podgov
4284252760717,1344000,1344000,1344000,918000000,918000000,918000000,47218,48718,nvhost_podgov
4284353666821,1344000,1344000,1344000,918000000,918000000,918000000,47312,48687,nvhost_podgov
4284454595135,1344000,1344000,1344000,918000000,918000000,918000000,47250,48750,nvhost_podgov
4284556071018,1344000,1344000,1344000,918000000,918000000,918000000,47250,49000,nvhost_podgov
4284657021412,1344000,1344000,1344000,918000000,918000000,918000000,47406,48875,nvhost_podgov
4284758048222,1344000,1344000,1344000,918000000,918000000,918000000,47156,48625,nvhost_podgov
4284859154843,1344000,1344000,1344000,918000000,918000000,918000000,47281,48718,nvhost_podgov
4284960190261,1344000,1344000,1344000,918000000,918000000,918000000,47343,48687,nvhost_podgov
4285061077803,1344000,1344000,1344000,918000000,918000000,918000000,47406,48843,nvhost_podgov
4285161974401,1344000,1344000,1344000,918000000,918000000,918000000,47187,48750,nvhost_podgov
4285263154016,1344000,1344000,1344000,918000000,918000000,918000000,47312,48937,nvhost_podgov
4285364570727,1344000,1344000,1344000,918000000,918000000,918000000,47375,48687,nvhost_podgov
4285465499934,1344000,1344000,1344000,918000000,918000000,918000000,47375,48531,nvhost_podgov
4285566538168,1344000,1344000,1344000,918000000,918000000,918000000,47250,48750,nvhost_podgov
4285667596115,1344000,1344000,1344000,918000000,918000000,918000000,47531,48875,nvhost_podgov
4285769045209,1344000,1344000,1344000,918000000,918000000,918000000,47406,48843,nvhost_podgov
4285870255287,1344000,1344000,1344000,918000000,918000000,918000000,47625,48593,nvhost_podgov
