ts_ns,cpu_khz,cpu_min_khz,cpu_max_khz,cpu_governor,gpu_hz,gpu_min_hz,gpu_max_hz,gpu_governor,fan_cur_state,fan_max_state,fan_pwm,temp_cpu_mC,temp_gpu_mC,temp_soc0_mC,temp_soc1_mC,temp_soc2_mC,temp_tj_mC,vdd_in_mW,vdd_cpu_gpu_cv_mW,vdd_soc_mW,ina260_current_A,ina260_voltage_V,ina260_power_W,jtop_valid,jtop_host_ts_ns,jtop_power_tot_mw,jtop_power_vdd_cpu_gpu_cv_mw,jtop_power_vdd_soc_mw
10989304482907,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,1,3,-1,52468,53906,53406,53125,52531,53906,-1,-1,-1,0.565,19.2288,10.87,0,0,,,
10989404569735,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,1,3,-1,53062,53843,53281,53125,52687,53843,-1,-1,-1,0.4325,19.255,8.33,0,0,,,
10989504575601,806400,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,1,3,-1,52906,53812,53406,53093,52781,53812,5334,953,1433,0.40125,19.2775,7.42,1,10989478743763,5374,993,1433
10989604580123,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,1,3,-1,52593,53968,53406,53093,52625,53968,5573,1152,1472,0.37625,19.2787,7.16,1,10989478743763,5374,993,1433
10989704571172,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,1,3,-1,52687,53937,53406,53093,52593,53937,5612,1152,1472,0.40375,19.2838,7.78,1,10989478743763,5374,993,1433
10989804576590,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,1,3,-1,52781,53718,53281,53000,52656,53718,5692,1232,1472,0.38375,19.2737,7.4,1,10989478743763,5374,993,1433
10989904565496,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,1,3,-1,52531,53656,53218,53125,52531,53656,5533,1112,1472,0.345,19.2875,6.75,1,10989478743763,5374,993,1433
10990004557921,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,1,3,-1,52406,53937,53187,53031,52593,53625,5374,993,1433,0.3425,19.2888,6.6,1,10989478743763,5374,993,1433
10990104567339,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,1,3,-1,52375,53656,53437,53156,52531,53656,5374,993,1433,0.35375,19.2812,6.82,1,10989478743763,5374,993,1433
10990204563829,729600,729600,1728000,schedutil,306000000,306000000,1020000000,nvhost_podgov,1,3,-1,52281,53593,53312,53125,52468,53593,5254,874,1433,0.34375,19.2875,6.6,1,10989478743763,5374,993,1433
