ts_ns,dt_ns,cpu_khz,cpu_min_khz,cpu_max_khz,gpu_hz,gpu_min_hz,gpu_max_hz,gpu_governor,temp_cpu_mC,temp_gpu_mC,temp_soc0_mC,temp_soc1_mC,temp_soc2_mC,temp_tj_mC
14943839358448,0,652800,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47687,48593,48375,47718,47750,48781
14943939467151,100108703,576000,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47656,48687,48343,47781,47750,48687
14944039447596,99980445,499200,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47562,48593,48250,47906,47687,48531
14944139442312,99994716,345600,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47468,48843,48343,47937,47687,48843
14944239425029,99982717,345600,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47406,48718,48343,47875,47687,48718
14944339445282,100020253,345600,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47468,48718,48218,47781,47718,48468
14944439487168,100041886,268800,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47375,48375,48250,47812,47781,48375
14944539479645,99992477,268800,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47531,48812,48312,47750,47687,48531
14944639458777,99979132,345600,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47593,48531,48437,47781,47625,48531
14944739474486,100015709,268800,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47656,48531,48406,47781,47781,48531
14944839641591,100167105,1728000,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47718,48843,48281,47843,47718,48625
14944939452079,99810488,499200,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47531,48562,48312,47875,47687,48562
14945039449676,99997597,422400,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47437,48562,48281,47843,47750,48562
14945139449865,100000189,499200,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47437,48593,48281,47937,47812,48500
14945239433477,99983612,576000,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47437,48625,48281,47812,47843,48625
14945339438306,100004829,268800,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47562,48500,48218,47812,47843,48500
14945439436415,99998109,268800,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47656,48687,48218,47781,47718,48687
14945539449756,100013341,268800,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47562,48656,48343,47812,47750,48656
14945639440921,99991165,345600,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47562,48531,48312,47781,47750,48781
14945739447798,100006877,345600,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47531,48750,48343,48031,47656,48750
14945839449843,100002045,422400,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47406,48656,48312,47906,47750,48656
14945939446223,99996380,422400,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47562,48625,48312,47812,47687,48781
14946039501805,100055582,422400,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47406,48718,48218,47812,47781,48718
14946139452969,99951164,345600,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47656,48562,48250,47781,47906,48562
14946239438949,99985980,345600,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47562,48812,48250,47843,47781,48812
14946339441666,100002717,268800,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47500,48718,48406,47906,47718,48718
14946439440543,99998877,345600,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47625,48656,48343,47843,47781,48562
14946539580543,100140000,345600,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47531,48562,48281,47781,47718,48562
14946639441401,99860858,345600,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47468,48781,48343,47906,47718,48781
14946739444629,100003228,268800,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47437,48750,48312,47875,47750,48562
14946839447474,100002845,1728000,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47531,48625,48281,47781,47718,48625
14946939442127,99994653,576000,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47687,48781,48312,47843,47687,48781
14947039437580,99995453,1728000,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47562,48500,48218,47875,47812,48500
14947139454761,100017181,1190400,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47937,48500,48468,47750,47781,48500
14947239444549,99989788,499200,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47625,48500,48468,47781,47843,48500
14947339425473,99980924,499200,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47500,48562,48375,47906,47812,48562
14947439436958,100011485,345600,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47468,48562,48375,47906,47843,48562
14947539441563,100004605,576000,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47531,48500,48250,47906,47687,48625
14947639441048,99999485,345600,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47531,48500,48406,47875,47687,48500
14947739474709,100033661,345600,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47687,48562,48343,47843,47750,48562
14947839457746,99983037,422400,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47500,48625,48156,47812,47750,48625
14947939472079,100014333,345600,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47562,48625,48281,47812,47781,48625
14948039462123,99990044,652800,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47625,48593,48468,47781,47812,48593
14948139449928,99987805,422400,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47562,48718,48437,47781,47687,48718
14948239437252,99987324,345600,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47468,48656,48312,47937,47781,48656
14948339439649,100002397,268800,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47406,48593,48375,48000,47718,48843
14948439444542,100004893,345600,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47500,48750,48312,47781,47718,48750
14948539437626,99993084,268800,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47343,48593,48312,47812,47687,48593
14948639440695,100003069,576000,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47437,48593,48281,47875,47843,48843
14948739446740,100006045,345600,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47593,48781,48281,47906,47750,48781
14948839446672,99999932,1267200,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47750,48656,48250,47843,47781,48656
14948939450925,100004253,652800,115200,1728000,306000000,306000000,1020000000,nvhost_podgov,47656,48562,48406,47812,47812,48562
