02-23-2026 20:27:11 RAM 2673/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,50%@1497,9%@1497,50%@1497,0%@1497,0%@1497] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.093C soc2@46.187C soc0@46.812C gpu@47.093C tj@47.093C soc1@46.468C VDD_IN 5334mW/5334mW VDD_CPU_GPU_CV 953mW/953mW VDD_SOC 1472mW/1472mW
02-23-2026 20:27:11 RAM 2763/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [41%@1497,9%@1497,10%@1497,54%@1497,10%@1497,0%@1497] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.062C soc2@46.25C soc0@46.75C gpu@47.156C tj@47.156C soc1@46.312C VDD_IN 5533mW/5434mW VDD_CPU_GPU_CV 1033mW/993mW VDD_SOC 1512mW/1492mW
02-23-2026 20:27:11 RAM 2841/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [100%@1497,0%@1497,0%@1497,8%@1497,0%@1497,0%@1497] EMC_FREQ 1%@2133 GR3D_FREQ 99%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.187C soc2@46.375C soc0@46.937C gpu@47.25C tj@47.25C soc1@46.312C VDD_IN 5931mW/5599mW VDD_CPU_GPU_CV 1232mW/1073mW VDD_SOC 1552mW/1512mW
02-23-2026 20:27:11 RAM 2841/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [100%@1497,0%@1497,0%@1497,0%@1497,0%@1497,8%@1497] EMC_FREQ 5%@2133 GR3D_FREQ 97%@[1008] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.343C soc2@46.531C soc0@46.906C gpu@48.312C tj@48.312C soc1@46.468C VDD_IN 7750mW/6137mW VDD_CPU_GPU_CV 2456mW/1419mW VDD_SOC 1788mW/1581mW
02-23-2026 20:27:11 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [70%@1497,0%@1497,30%@1497,16%@1497,0%@1497,8%@1497] EMC_FREQ 9%@2133 GR3D_FREQ 97%@[1009] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.562C soc2@46.593C soc0@46.843C gpu@48.781C tj@48.781C soc1@46.343C VDD_IN 9602mW/6830mW VDD_CPU_GPU_CV 3757mW/1886mW VDD_SOC 2020mW/1669mW
02-23-2026 20:27:11 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [16%@1497,0%@1497,100%@1497,0%@1497,0%@1497,0%@1497] EMC_FREQ 13%@2133 GR3D_FREQ 97%@[1008] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.875C soc2@46.687C soc0@46.968C gpu@49.156C tj@48.968C soc1@46.312C VDD_IN 10955mW/7518mW VDD_CPU_GPU_CV 4738mW/2362mW VDD_SOC 2175mW/1753mW
02-23-2026 20:27:11 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,0%@1497,10%@1497,9%@1497,90%@1497,0%@1497] EMC_FREQ 17%@2133 GR3D_FREQ 97%@[1009] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.562C soc2@46.875C soc0@46.906C gpu@49.218C tj@49.218C soc1@46.375C VDD_IN 12023mW/8161mW VDD_CPU_GPU_CV 5479mW/2807mW VDD_SOC 2290mW/1830mW
02-23-2026 20:27:12 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,9%@1497,8%@1497,0%@1497,100%@1497,0%@1497] EMC_FREQ 20%@2133 GR3D_FREQ 97%@[1009] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.75C soc2@46.875C soc0@47.031C gpu@49.125C tj@49.125C soc1@46.375C VDD_IN 12833mW/8745mW VDD_CPU_GPU_CV 6022mW/3209mW VDD_SOC 2408mW/1902mW
02-23-2026 20:27:12 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,100%@1497,0%@1497] EMC_FREQ 23%@2133 GR3D_FREQ 97%@[1005] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.718C soc2@46.906C soc0@47.031C gpu@49.281C tj@49.281C soc1@46.5C VDD_IN 13465mW/9270mW VDD_CPU_GPU_CV 6444mW/3568mW VDD_SOC 2483mW/1967mW
02-23-2026 20:27:12 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,100%@1497,0%@1497] EMC_FREQ 25%@2133 GR3D_FREQ 97%@[1006] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@47.062C soc2@47.031C soc0@47.062C gpu@49.406C tj@49.406C soc1@46.375C VDD_IN 13916mW/9734mW VDD_CPU_GPU_CV 6787mW/3890mW VDD_SOC 2523mW/2022mW
02-23-2026 20:27:12 RAM 2843/7621MB (lfb 28x4MB) SWAP 0/3810MB (cached 0MB) CPU [8%@1497,0%@1497,0%@1497,9%@1497,36%@1497,54%@1497] EMC_FREQ 28%@2133 GR3D_FREQ 97%@[1009] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@46.937C soc2@47.062C soc0@47.187C gpu@49.812C tj@49.812C soc1@46.468C VDD_IN 14271mW/10147mW VDD_CPU_GPU_CV 7022mW/4175mW VDD_SOC 2558mW/2071mW
